Date,TM,SHELL,AAPL
12/22/2022,137,2184.149658,130.997925
12/23/2022,137.139999,2182.294922,130.631363
12/27/2022,136.160004,2195.281494,128.818405
12/28/2022,134.130005,2179.975342,124.865585
12/29/2022,137.410004,2179.511963,128.402328
12/30/2022,136.580002,2157.712158,128.71933
1/3/2023,138.279999,2195.745605,123.904625
1/4/2023,137.190002,2119.678467,125.18261
1/5/2023,135.520004,2144.260742,123.855095
1/6/2023,138.970001,2179.975342,128.412216
1/9/2023,139.940002,2206.877441,128.937286
1/10/2023,139.139999,2204.558105,129.511887
1/11/2023,138.850006,2231.923828,132.246185
1/12/2023,142.360001,2256.506592,132.166916
1/13/2023,140.300003,2263.927979,133.504333
1/17/2023,144.770004,2250.013184,134.67334
1/18/2023,145.509995,2243.983643,133.95015
1/19/2023,144.179993,2229.60498,134.009567
1/20/2023,146.110001,2189.716064,136.585358
1/23/2023,146.029999,2192.034912,139.795197
1/24/2023,146.009995,2194.354004,141.201935
1/25/2023,146.149994,2177.65625,140.538208
1/26/2023,145.470001,2163.277832,142.618622
1/27/2023,147.160004,2172.090576,144.570251
1/30/2023,145.179993,2198.992432,141.667557
